parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
21Mg,21Na,b+ec,12,9,0.0,5/2,1,11,10,3544.0,5/2,2,0.45,0.07,6.09,0.09,0.004995656,0.001035263,0.207232658,False,5,5,0.0,False,0.0
21Mg,21Na,b+ec,12,9,0.0,5/2,1,11,10,4294.0,5/2,3,5.4,0.3,4.82,0.03,0.093023474,0.006425834,0.069077553,False,5,5,0.0,False,0.0
21Mg,21Na,b+ec,12,9,0.0,5/2,1,11,10,4468.0,3/2,2,10.5,0.5,4.48,0.03,0.203513187,0.014058193,0.069077553,False,5,3,0.0,False,-1.0
22Mg,22Na,b+ec,12,10,0.0,0,1,11,11,583.1,1,1,41.33,0.2,3.64,0.01,1.407967259,0.032419644,0.023025851,True,0,2,0.0,False,1.0
22Mg,22Na,b+ec,12,10,0.0,0,1,11,11,1936.9,1,2,5.45,0.07,3.46,0.01,2.131044683,0.049069117,0.023025851,True,0,2,0.0,False,1.0
23Mg,23Na,b+ec,12,11,0.0,3/2,1,11,12,0.0,3/2,1,91.3,0.2,3.672,0.001,1.307954258,0.003011676,0.002302585,True,3,3,0.0,True,0.0
23Mg,23Na,b+ec,12,11,0.0,3/2,1,11,12,439.99,5/2,1,8.7,0.3,4.39,0.001,0.250375919,0.000576512,0.002302585,True,3,5,0.0,True,1.0
23Mg,23Na,b+ec,12,11,0.0,3/2,1,11,12,2390.0,1/2,1,0.006,0.0007,4.97,0.05,0.065855576,0.007581903,0.115129255,True,3,1,0.0,True,-1.0
22Al,22Mg,b+ec,13,9,0.0,4,1,12,10,5293.11,4,2,31.0,5.0,4.87,0.08,0.082907259,0.015272081,0.184206807,True,8,8,0.0,False,0.0
22Al,22Mg,b+ec,13,9,0.0,4,1,12,10,5451.8,3,1,5.9,2.4,5.56,0.18,0.01692749,0.007015857,0.414465317,True,8,6,0.0,False,-1.0
22Al,22Mg,b+ec,13,9,0.0,4,1,12,10,6307.0,4,3,4.7,0.6,4.7,0.6,0.122628822,0.169417978,1.381551056,True,8,8,0.0,False,0.0
23Al,23Mg,b+ec,13,10,0.0,5/2,1,12,11,0.0,3/2,1,37.0,1.0,5.32,0.6,0.029416605,0.040640542,1.381551056,True,5,3,0.0,False,-1.0
23Al,23Mg,b+ec,13,10,0.0,5/2,1,12,11,450.0,5/2,1,41.0,1.0,5.19,0.6,0.039681909,0.054822583,1.381551056,True,5,5,0.0,False,0.0
23Al,23Mg,b+ec,13,10,0.0,5/2,1,12,11,2050.9,7/2,1,10.0,1.0,5.5,0.6,0.019435358,0.02685094,1.381551056,True,5,7,0.0,False,1.0
24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,8439.4,4,3,50.0,2.0,3.93,0.02,0.722092037,0.033253567,0.046051702,True,8,8,0.0,False,0.0
24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,4122.0,4,1,7.7,1.0,6.13,0.06,0.004556093,0.000629447,0.138155106,True,8,8,0.0,False,0.0
24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,5235.1,3,1,1.4,0.13,6.59,0.04,0.001579765,0.000145502,0.092103404,True,8,6,0.0,False,-1.0
24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,6010.8,4,2,1.2,0.1,6.43,0.04,0.002283456,0.000210314,0.092103404,True,8,8,0.0,False,0.0
24Al,24Mg,b+ec,13,11,0.0,4,1,12,12,7812.3,5,1,0.05,0.02,7.19,0.17,0.000396819,0.000155331,0.391439466,True,8,10,0.0,False,1.0
25Al,25Mg,b+ec,13,12,0.0,5/2,1,12,13,0.0,5/2,1,99.11,0.08,3.57,0.01,1.65421729,0.038089761,0.023025851,True,5,5,0.0,True,0.0
25Al,25Mg,b+ec,13,12,0.0,5/2,1,12,13,974.0,3/2,1,0.047,0.006,6.2,0.01,0.003877864,8.92911e-05,0.023025851,True,5,3,0.0,True,-1.0
25Al,25Mg,b+ec,13,12,0.0,5/2,1,12,13,1611.7,7/2,1,0.78,0.021,4.36,0.01,0.26828263,0.006177436,0.023025851,True,5,7,0.0,True,1.0
23Si,23Al,b+ec,14,9,0.0,5/2,1,13,10,0.0,5/2,1,25.0,3.0,5.2,0.1,0.038778638,0.008929111,0.230258509,False,5,5,0.0,False,0.0
23Si,23Al,b+ec,14,9,0.0,5/2,1,13,10,1773.0,3/2,1,10.0,1.0,5.3,0.1,0.030802967,0.007092645,0.230258509,False,5,3,0.0,False,-1.0
23Si,23Al,b+ec,14,9,0.0,5/2,1,13,10,3197.0,3/2,2,7.8,0.6,5.2,0.1,0.038778638,0.008929111,0.230258509,False,5,3,0.0,False,-1.0
23Si,23Al,b+ec,14,9,0.0,5/2,1,13,10,3718.0,5/2,2,39.2,2.1,4.4,0.1,0.244676667,0.056338885,0.230258509,False,5,5,0.0,False,0.0
23Si,23Al,b+ec,14,9,0.0,5/2,1,13,10,4200.0,7/2,1,14.0,1.0,4.8,0.1,0.097407536,0.022428914,0.230258509,False,5,7,0.0,False,1.0
24Si,24Al,b+ec,14,10,0.0,0,1,13,11,3000.0,1,1,75.0,7.0,4.6,0.1,0.15438054,0.035547433,0.230258509,False,0,2,0.0,False,1.0
24Si,24Al,b+ec,14,10,0.0,0,1,13,11,3370.0,1,2,144.0,9.0,4.2,0.1,0.387786384,0.089291115,0.230258509,False,0,2,0.0,False,1.0
24Si,24Al,b+ec,14,10,0.0,0,1,13,11,4400.0,1,3,13.0,3.0,4.8,0.1,0.097407536,0.022428914,0.230258509,False,0,2,0.0,False,1.0
24Si,24Al,b+ec,14,10,0.0,0,1,13,11,4670.0,1,4,18.0,3.0,4.6,0.1,0.15438054,0.035547433,0.230258509,False,0,2,0.0,False,1.0
24Si,24Al,b+ec,14,10,0.0,0,1,13,11,4970.0,1,5,17.0,3.0,4.5,0.1,0.194353585,0.044751567,0.230258509,False,0,2,0.0,False,1.0
24Si,24Al,b+ec,14,10,0.0,0,1,13,11,5430.0,1,6,6.6,2.0,4.7,0.1,0.122628822,0.02823633,0.230258509,False,0,2,0.0,False,1.0
25Si,25Al,b+ec,14,11,0.0,5/2,1,13,12,0.0,5/2,1,25.0,7.0,5.24,0.14,0.035366539,0.011400825,0.322361913,False,5,5,0.0,False,0.0
25Si,25Al,b+ec,14,11,0.0,5/2,1,13,12,945.0,3/2,1,26.0,4.0,5.05,0.07,0.054776283,0.008828894,0.161180957,False,5,3,0.0,False,-1.0
25Si,25Al,b+ec,14,11,0.0,5/2,1,13,12,1613.0,7/2,1,15.0,3.0,5.16,0.1,0.042519931,0.009790576,0.230258509,False,5,7,0.0,False,1.0
25Si,25Al,b+ec,14,11,0.0,5/2,1,13,12,2672.0,3/2,2,4.8,0.3,5.42,0.03,0.02336644,0.001614097,0.069077553,False,5,3,0.0,False,-1.0
25Si,25Al,b+ec,14,11,0.0,5/2,1,13,12,3844.0,5/2,2,0.4,0.1,6.21,0.13,0.003789593,0.001134362,0.299336062,False,5,5,0.0,False,0.0
25Si,25Al,b+ec,14,11,0.0,5/2,1,13,12,4189.0,3/2,3,2.99,0.03,5.25,0.01,0.034561498,0.000795808,0.023025851,False,5,3,0.0,False,-1.0
25Si,25Al,b+ec,14,11,0.0,5/2,1,13,12,4582.0,5/2,3,3.2,0.3,5.11,0.05,0.047708148,0.005492603,0.115129255,False,5,5,0.0,False,0.0
26Si,26Al,b+ec,14,12,0.0,0,1,13,13,1057.7,1,1,21.9,0.4,3.54,0.01,1.772525762,0.040813914,0.023025851,True,0,2,0.0,False,1.0
26Si,26Al,b+ec,14,12,0.0,0,1,13,13,1850.0,1,2,2.73,0.07,3.86,0.01,0.848384169,0.019534767,0.023025851,True,0,2,0.0,False,1.0
26Si,26Al,b+ec,14,12,0.0,0,1,13,13,2071.0,1,3,0.29,0.011,4.63,0.02,0.144076303,0.006634959,0.046051702,True,0,2,0.0,False,1.0
26Si,26Al,b+ec,14,12,0.0,0,1,13,13,2740.0,1,4,0.0618,0.0025,4.54,0.02,0.177252576,0.008162783,0.046051702,True,0,2,0.0,False,1.0
27Si,27Al,b+ec,14,13,0.0,5/2,1,13,14,1014.5,3/2,1,0.006,0.0008,7.23,0.06,0.000361903,4.99988e-05,0.138155106,True,5,3,0.0,True,-1.0
27Si,27Al,b+ec,14,13,0.0,5/2,1,13,14,2212.0,7/2,1,0.18,0.013,4.69,0.04,0.125485214,0.011557615,0.092103404,True,5,7,0.0,True,1.0
27Si,27Al,b+ec,14,13,0.0,5/2,1,13,14,2734.9,5/2,2,0.017,0.013,5.0,0.4,0.06146,0.056606752,0.921034037,True,5,5,0.0,True,0.0
27Si,27Al,b+ec,14,13,0.0,5/2,1,13,14,2982.2,3/2,2,0.026,0.013,4.34,0.22,0.280926401,0.142308528,0.50656872,True,5,3,0.0,True,-1.0
26P,26Si,b+ec,15,11,0.0,3,1,14,12,1797.2,2,1,44.0,12.0,4.9,0.1,0.077373556,0.01781592,0.230258509,True,6,4,0.0,False,-1.0
26P,26Si,b+ec,15,11,0.0,3,1,14,12,2786.31,2,2,3.3,2.0,5.9,0.3,0.007737356,0.005344776,0.690775528,True,6,4,0.0,False,-1.0
26P,26Si,b+ec,15,11,0.0,3,1,14,12,3756.0,3,1,2.68,0.68,5.8,0.1,0.009740754,0.002242891,0.230258509,True,6,6,0.0,False,0.0
26P,26Si,b+ec,15,11,0.0,3,1,14,12,3842.2,4,1,1.68,0.47,6.0,0.1,0.006146,0.001415169,0.230258509,True,6,8,0.0,False,1.0
26P,26Si,b+ec,15,11,0.0,3,1,14,12,4193.2,2,3,1.78,0.75,5.9,0.2,0.007737356,0.003563184,0.460517019,True,6,4,0.0,False,-1.0
28P,28Si,b+ec,15,13,0.0,3,1,14,14,1779.0,2,1,69.1,0.7,4.851,0.005,0.08661489,0.000997191,0.011512925,True,6,4,0.0,False,-1.0
28P,28Si,b+ec,15,13,0.0,3,1,14,14,4617.0,4,1,1.29,0.18,5.99,0.06,0.006289159,0.000868879,0.138155106,True,6,8,0.0,False,1.0
28P,28Si,b+ec,15,13,0.0,3,1,14,14,6276.0,3,1,7.6,0.4,4.788,0.023,0.100136534,0.005303176,0.052959457,True,6,6,0.0,False,0.0
29P,29Si,b+ec,15,14,0.0,1/2,1,14,15,0.0,1/2,1,98.29,0.03,3.6812,0.0004,1.280538251,0.001179419,0.000921034,True,1,1,0.0,True,0.0
29P,29Si,b+ec,15,14,0.0,1/2,1,14,15,1273.39,3/2,1,1.26,0.02,4.806,0.007,0.096071054,0.001548482,0.016118096,True,1,3,0.0,True,1.0
29P,29Si,b+ec,15,14,0.0,1/2,1,14,15,2425.98,3/2,2,0.456,0.014,4.172,0.014,0.413611453,0.013333258,0.032236191,True,1,3,0.0,True,1.0
30P,30Si,b+ec,15,15,0.0,1,1,14,16,0.0,0,1,99.939,0.003,4.893,0.0008,0.078630775,0.000144843,0.001842068,True,2,0,0.0,False,-1.0
30P,30Si,b+ec,15,15,0.0,1,1,14,16,2235.3,2,1,0.055,0.003,5.884,0.024,0.008027726,0.000443629,0.055262042,True,2,4,0.0,False,1.0
30P,30Si,b+ec,15,15,0.0,1,1,14,16,3498.5,2,2,0.00156,0.00015,5.26,0.024,0.033774782,0.001866463,0.055262042,True,2,4,0.0,False,1.0
30P,30Si,b+ec,15,15,0.0,1,1,14,16,3787.7,0,2,0.0034,0.0003,4.48,0.04,0.203513187,0.018744257,0.092103404,True,2,0,0.0,False,-1.0
29S,29P,b+ec,16,13,0.0,5/2,1,15,14,1383.55,3/2,1,27.0,2.0,5.06,0.04,0.053529422,0.004930242,0.092103404,False,5,3,0.0,False,-1.0
29S,29P,b+ec,16,13,0.0,5/2,1,15,14,1953.91,5/2,1,4.5,0.4,5.73,0.04,0.011444388,0.001054067,0.092103404,False,5,5,0.0,False,0.0
29S,29P,b+ec,16,13,0.0,5/2,1,15,14,2422.7,3/2,2,20.7,0.19,4.98,0.05,0.064356521,0.007409318,0.115129255,False,5,3,0.0,False,-1.0
29S,29P,b+ec,16,13,0.0,5/2,1,15,14,3105.9,5/2,2,0.9,0.3,6.2,0.15,0.003877864,0.001339367,0.345387764,False,5,5,0.0,False,0.0
29S,29P,b+ec,16,13,0.0,5/2,1,15,14,4954.0,5/2,3,11.9,0.4,4.639,0.22,0.141121296,0.071487634,0.50656872,False,5,5,0.0,False,0.0
29S,29P,b+ec,16,13,0.0,5/2,1,15,14,5293.0,7/2,1,3.9,0.3,5.03,0.04,0.057357809,0.005282849,0.092103404,False,5,7,0.0,False,1.0
30S,30P,b+ec,16,14,0.0,0,1,15,15,0.0,1,1,21.3,0.5,4.322,0.011,0.292814484,0.007416533,0.025328436,True,0,2,0.0,False,1.0
30S,30P,b+ec,16,14,0.0,0,1,15,15,708.0,1,2,0.29,0.07,5.89,0.11,0.007917582,0.0020054,0.25328436,True,0,2,0.0,False,1.0
30S,30P,b+ec,16,14,0.0,0,1,15,15,3019.0,1,3,0.29,0.07,3.549,0.01,1.736171233,0.03997682,0.023025851,True,0,2,0.0,False,1.0
31S,31P,b+ec,16,15,0.0,1/2,1,15,16,0.0,1/2,1,98.86,0.04,3.6786,0.0004,1.28822747,0.001186501,0.000921034,True,1,1,0.0,True,0.0
31S,31P,b+ec,16,15,0.0,1/2,1,15,16,1266.13,3/2,1,1.08,0.03,4.967,0.012,0.066312066,0.00183227,0.027631021,True,1,3,0.0,True,1.0
31S,31P,b+ec,16,15,0.0,1/2,1,15,16,3134.3,1/2,2,0.0322,0.0012,4.77,0.02,0.104374055,0.004806603,0.046051702,True,1,1,0.0,True,0.0
31S,31P,b+ec,16,15,0.0,1/2,1,15,16,3506.1,3/2,2,0.012,0.0009,4.58,0.04,0.161656271,0.014889093,0.092103404,True,1,3,0.0,True,1.0
31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,2234.4,5/2,1,48.0,1.0,4.3,0.1,0.308029674,0.070926454,0.230258509,True,3,5,0.0,False,1.0
31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,1248.8,3/2,1,6.8,0.4,5.3,0.1,0.030802967,0.007092645,0.230258509,True,3,3,0.0,False,0.0
31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,3077.2,1/2,2,3.2,0.2,5.2,0.1,0.038778638,0.008929111,0.230258509,True,3,1,0.0,False,-1.0
31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,3284.2,5/2,1,5.6,0.3,4.9,0.1,0.077373556,0.01781592,0.230258509,True,3,5,0.0,False,1.0
31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,3435.6,3/2,2,0.8,0.1,4.3,0.1,0.308029674,0.070926454,0.230258509,True,3,3,0.0,False,0.0
31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,4520.5,3/2,3,0.6,0.1,5.5,0.1,0.019435358,0.004475157,0.230258509,True,3,3,0.0,False,0.0
31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,5157.5,1/2,3,0.7,0.1,5.3,0.1,0.030802967,0.007092645,0.230258509,True,3,1,0.0,False,-1.0
31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,6255.0,1/2,4,0.4,0.1,5.1,0.1,0.048819413,0.011241085,0.230258509,True,3,1,0.0,False,-1.0
31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,6280.0,3/2,4,14.6,0.1,3.509,0.013,1.903673901,0.056983825,0.029933606,True,3,3,0.0,False,0.0
32Cl,32S,b+ec,17,15,0.0,1,1,16,16,0.0,0,1,1.0,0.4,6.74,0.18,0.001118388,0.000463533,0.414465317,True,2,0,0.0,False,-1.0
32Cl,32S,b+ec,17,15,0.0,1,1,16,16,2230.5,2,1,60.0,4.0,4.52,0.03,0.185606233,0.012821224,0.069077553,True,2,4,0.0,False,1.0
32Cl,32S,b+ec,17,15,0.0,1,1,16,16,3778.0,0,2,2.6,0.8,5.51,0.14,0.018992956,0.006122606,0.322361913,True,2,0,0.0,False,-1.0
32Cl,32S,b+ec,17,15,0.0,1,1,16,16,4281.5,2,2,3.1,0.4,5.3,0.06,0.030802967,0.004255587,0.138155106,True,2,4,0.0,False,1.0
32Cl,32S,b+ec,17,15,0.0,1,1,16,16,4694.2,1,1,6.8,0.8,4.84,0.06,0.088836728,0.012273248,0.138155106,True,2,2,0.0,False,0.0
32Cl,32S,b+ec,17,15,0.0,1,1,16,16,5548.7,2,3,4.1,0.5,4.79,0.06,0.099676449,0.01377081,0.138155106,True,2,4,0.0,False,1.0
33Cl,33S,b+ec,17,16,0.0,3/2,1,16,17,0.0,3/2,1,98.58,0.19,3.7471,0.001,1.100252986,0.002533426,0.002302585,True,3,3,0.0,True,0.0
33Cl,33S,b+ec,17,16,0.0,3/2,1,16,17,840.9,1/2,1,0.48,0.06,5.65,0.06,0.01375918,0.001900901,0.138155106,True,3,1,0.0,True,-1.0
33Cl,33S,b+ec,17,16,0.0,3/2,1,16,17,1966.0,5/2,1,0.46,0.06,4.97,0.06,0.065855576,0.009098284,0.138155106,True,3,5,0.0,True,1.0
33Cl,33S,b+ec,17,16,0.0,3/2,1,16,17,2312.7,3/2,2,0.035,0.005,5.65,0.06,0.01375918,0.001900901,0.138155106,True,3,3,0.0,True,0.0
33Cl,33S,b+ec,17,16,0.0,3/2,1,16,17,2867.0,5/2,2,0.44,0.06,4.18,0.06,0.406062193,0.056099565,0.138155106,True,3,5,0.0,True,1.0
34Cl,34S,b+ec,17,17,146.36,3,1,16,18,2127.6,2,1,28.5,0.7,5.982,0.013,0.006406083,0.000191757,0.029933606,False,6,4,0.0,False,-1.0
34Cl,34S,b+ec,17,17,146.36,3,1,16,18,3304.2,2,2,26.4,0.5,4.823,0.011,0.092383105,0.00233992,0.025328436,True,6,4,0.0,False,-1.0
34Cl,34S,b+ec,17,17,146.36,3,1,16,18,4114.813,2,3,0.45,0.01,5.081,0.013,0.051002628,0.001526693,0.029933606,True,6,4,0.0,False,-1.0
34Ar,34Cl,b+ec,18,16,0.0,0,1,17,17,460.0,1,1,0.91,0.1,5.31,0.05,0.030101806,0.003465599,0.115129255,False,0,2,0.0,False,1.0
34Ar,34Cl,b+ec,18,16,0.0,0,1,17,17,665.0,1,2,2.5,0.11,4.78,0.02,0.101998211,0.004697191,0.046051702,False,0,2,0.0,False,1.0
34Ar,34Cl,b+ec,18,16,0.0,0,1,17,17,2579.0,1,3,0.865,0.05,4.12,0.03,0.466221778,0.032205459,0.069077553,False,0,2,0.0,False,1.0
34Ar,34Cl,b+ec,18,16,0.0,0,1,17,17,3129.0,1,4,1.29,0.07,3.45,0.024,2.18068309,0.120509001,0.055262042,False,0,2,0.0,False,1.0
35Ar,35Cl,b+ec,18,17,0.0,3/2,1,17,18,0.0,3/2,1,98.23,0.05,3.752,0.0005,1.087908966,0.001252501,0.001151293,True,3,3,0.0,True,0.0
35Ar,35Cl,b+ec,18,17,0.0,3/2,1,17,18,1219.22,1/2,1,1.23,0.03,5.091,0.011,0.049841667,0.001262411,0.025328436,True,3,1,0.0,True,-1.0
35Ar,35Cl,b+ec,18,17,0.0,3/2,1,17,18,1763.11,5/2,1,0.25,0.11,5.475,0.02,0.020586976,0.000948065,0.046051702,True,3,5,0.0,True,1.0
35Ar,35Cl,b+ec,18,17,0.0,3/2,1,17,18,2693.0,3/2,3,0.16,0.007,4.989,0.019,0.063036567,0.002757794,0.043749117,True,3,3,0.0,True,0.0
35Ar,35Cl,b+ec,18,17,0.0,3/2,1,17,18,3002.0,5/2,2,0.089,0.0026,4.973,0.013,0.06540223,0.001957725,0.029933606,True,3,5,0.0,True,1.0
37Ar,37Cl,b+ec,18,19,0.0,3/2,1,17,20,0.0,3/2,1,100.0,0.0,5.1006,0.0004,0.048752013,4.49023e-05,0.000921034,False,3,3,0.0,False,0.0
35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,0.0,3/2,1,19.0,4.0,5.07,0.1,0.052310944,0.01204504,0.230258509,True,3,3,0.0,False,0.0
35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,1184.0,1/2,1,2.2,0.7,5.77,0.14,0.010437405,0.003364622,0.322361913,True,3,1,0.0,False,-1.0
35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,1750.0,5/2,1,11.9,0.9,4.91,0.04,0.075612319,0.006964152,0.092103404,True,3,5,0.0,False,1.0
35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,4725.0,1/2,2,2.1,0.4,4.85,0.09,0.086814557,0.017990812,0.207232658,True,3,1,0.0,False,-1.0
35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,4785.0,1/2,3,1.0,0.4,5.15,0.18,0.043510348,0.01803353,0.414465317,True,3,1,0.0,False,-1.0
35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,5572.0,3/2,3,36.0,3.0,3.31,0.05,3.010180624,0.346559852,0.115129255,True,3,3,0.0,False,0.0
36K,36Ar,b+ec,19,17,0.0,2,1,18,18,1970.0,2,1,44.0,4.0,4.78,0.04,0.101998211,0.009394382,0.092103404,True,4,4,0.0,False,0.0
36K,36Ar,b+ec,19,17,0.0,2,1,18,18,4441.5,2,2,8.4,1.0,4.9,0.06,0.077373556,0.010689552,0.138155106,True,4,4,0.0,False,0.0
36K,36Ar,b+ec,19,17,0.0,2,1,18,18,6612.0,2,3,42.0,4.0,3.49,0.05,1.988806615,0.228969823,0.115129255,True,4,4,0.0,False,0.0
37K,37Ar,b+ec,19,18,0.0,3/2,1,18,19,0.0,3/2,1,97.89,0.11,3.657,0.003,1.353918604,0.009352538,0.006907755,True,3,3,0.0,True,0.0
38K,38Ar,b+ec,19,19,0.0,3,1,18,20,2167.6,2,1,99.848,0.01,4.975,0.001,0.065101734,0.000149902,0.002302585,False,6,4,0.0,False,-1.0
38Ca,38K,b+ec,20,18,0.0,0,1,19,19,1697.7,1,2,19.48,0.13,3.426,0.003,2.304584072,0.015919503,0.006907755,False,0,2,0.0,False,1.0
39Ca,39K,b+ec,20,19,0.0,3/2,1,19,20,0.0,3/2,1,99.9975,0.0027,3.63,0.0006,1.44076303,0.001990488,0.001381551,False,3,3,0.0,True,0.0
